               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11188,            0.032656,                   0,           0.0030476,             0.91429,             0.01237,           0.0029258,            0.095183,            0.022743,                   0,            0.070833,           0.0032407,           0.0032407
                   1,            0.084461,            0.030598,                   0,             0.13911,             0.22857,             0.13676,            0.045743,            0.070974,            0.023428,                   0,            0.040703,           0.0064439,           0.0064439
                   2,            0.074297,             0.02643,                   0,             0.26514,            0.057143,            0.081174,            0.021272,            0.083713,            0.017886,                   0,            0.010441,           0.0095151,           0.0095151
                   3,            0.072856,            0.023119,                   0,            0.032365,             0.91429,            0.069143,            0.018361,            0.064453,            0.018436,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.062525,            0.022707,                   0,             0.36316,             0.74286,             0.44319,             0.15397,            0.060507,             0.01606,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.061202,            0.026484,                   0,             0.29804,             0.77143,             0.70986,             0.30682,            0.053374,            0.014962,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.058859,            0.021802,                   0,             0.57667,             0.73955,             0.83466,             0.32186,             0.05373,            0.014307,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.058655,            0.022101,                   0,             0.80365,             0.82857,             0.76947,             0.13009,            0.058032,            0.012126,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.054581,            0.021621,                   0,                   1,              0.7629,             0.88314,               0.378,            0.041257,             0.01297,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050262,            0.018618,                   0,             0.99574,             0.91429,             0.93493,             0.49563,            0.039087,            0.012926,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04621,            0.018269,                   0,             0.87499,             0.91429,             0.93978,              0.5432,            0.043184,            0.011419,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.048581,            0.018631,                   0,             0.99611,             0.91429,             0.94513,             0.54926,            0.037261,            0.010641,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04527,            0.015879,                   0,             0.98222,             0.85714,             0.92628,             0.61506,            0.034064,            0.010429,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.042676,             0.01645,                   0,             0.88393,             0.91429,             0.94085,             0.62989,            0.037974,           0.0094324,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.045606,            0.015297,                   0,             0.87962,             0.88571,               0.916,             0.61781,             0.03751,           0.0085758,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043805,            0.013714,                   0,             0.93668,             0.94286,             0.95768,             0.70315,            0.029212,           0.0084783,                   0,            0.007228,            0.007228,            0.007228
