epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46664,0.99729,3.47253,1.26232,0.73576,0.87528,0.86744,0.80699,0.53185,2.89034,0.83201,0.00034,0.00034,0.00034
2,13.3684,0.76108,1.40214,1.10062,0.96711,0.91429,0.96679,0.80733,1.00546,2.74492,1.46815,0.00068614,0.00068614,0.00068614
3,18.871,0.77613,1.12657,1.07078,0.90961,0.88571,0.8921,0.77198,0.6894,1.0382,1.0547,0.00101802,0.00101802,0.00101802
4,23.8598,0.8351,1.07495,1.13017,0.95833,0.65714,0.85384,0.65755,0.77019,2.09982,0.9687,0.00133565,0.00133565,0.00133565
5,28.808,0.9477,0.979,1.19991,0.74899,0.65714,0.67061,0.44678,1.06761,2.9138,1.30715,0.00163902,0.00163902,0.00163902
6,33.8677,0.80798,0.99873,1.06292,0.09549,0.74286,0.08682,0.06024,1.50159,6.1159,1.39243,0.001802,0.001802,0.001802
7,38.7616,0.86179,0.98916,1.14114,0.27055,0.74286,0.26595,0.10088,2.15055,3.47387,1.99258,0.0017624,0.0017624,0.0017624
8,43.5273,0.89326,0.91675,1.12375,0.82627,0.81552,0.89782,0.71128,0.98503,1.86747,1.24807,0.0017228,0.0017228,0.0017228
9,48.4419,0.79203,0.80275,1.08005,0.91502,0.77143,0.85601,0.6467,0.68589,1.63568,0.89306,0.0016832,0.0016832,0.0016832
10,53.3072,0.72721,0.70473,1.06388,0.76566,0.85714,0.81698,0.70442,0.64591,1.26586,0.84888,0.0016436,0.0016436,0.0016436
11,58.2919,0.67798,0.63692,1.03766,0.87976,0.85714,0.83413,0.7229,0.72324,3.08205,0.94076,0.001604,0.001604,0.001604
12,63.3327,0.6533,0.61316,1.00736,0.95836,0.8,0.85476,0.70248,0.80305,1.32859,0.97845,0.0015644,0.0015644,0.0015644
13,68.42,0.6745,0.59005,1.03263,0.96748,0.85031,0.92071,0.84033,0.50543,0.75634,0.82043,0.0015248,0.0015248,0.0015248
14,73.5791,0.62014,0.55554,0.98522,0.99266,0.91429,0.98421,0.87711,0.51768,0.71478,0.88181,0.0014852,0.0014852,0.0014852
15,78.6669,0.65744,0.60764,1.00995,0.84728,0.97143,0.97125,0.88939,0.58484,0.70736,0.82174,0.0014456,0.0014456,0.0014456
16,83.7302,0.63986,0.55613,1.0243,0.99272,0.97143,0.99444,0.90461,0.44774,0.62512,0.77931,0.001406,0.001406,0.001406
17,88.6896,0.6163,0.56321,0.97169,0.96395,1,0.99278,0.9288,0.48101,0.45439,0.77767,0.0013664,0.0013664,0.0013664
18,93.7615,0.59809,0.52604,0.95377,0.99699,1,0.995,0.95227,0.40439,0.431,0.74258,0.0013268,0.0013268,0.0013268
19,98.5826,0.64731,0.54988,0.99164,0.96786,1,0.99361,0.94999,0.47656,0.44509,0.8005,0.0012872,0.0012872,0.0012872
20,103.548,0.59533,0.52593,0.97259,0.99772,1,0.995,0.93826,0.42419,0.39089,0.7516,0.0012476,0.0012476,0.0012476
21,108.504,0.59113,0.4967,0.96273,0.99776,1,0.995,0.94356,0.43685,0.39946,0.7591,0.001208,0.001208,0.001208
22,113.445,0.52971,0.47331,0.9547,0.99778,1,0.995,0.93823,0.43446,0.35124,0.76444,0.0011684,0.0011684,0.0011684
23,118.396,0.51592,0.43227,0.9389,0.9899,1,0.995,0.94633,0.41499,0.3593,0.74505,0.0011288,0.0011288,0.0011288
24,123.409,0.56462,0.49217,0.97793,0.99804,1,0.995,0.96876,0.38485,0.38044,0.72631,0.0010892,0.0010892,0.0010892
25,128.508,0.52271,0.45627,0.94304,0.99766,1,0.995,0.95243,0.39733,0.31882,0.73617,0.0010496,0.0010496,0.0010496
26,134.223,0.54941,0.46496,0.97233,0.99839,1,0.995,0.94311,0.38053,0.29706,0.72693,0.00101,0.00101,0.00101
27,139.06,0.52728,0.45641,0.96239,0.99745,1,0.995,0.92971,0.3628,0.30338,0.72388,0.0009704,0.0009704,0.0009704
28,143.931,0.50895,0.43243,0.96074,0.99639,1,0.995,0.94763,0.35113,0.3035,0.71492,0.0009308,0.0009308,0.0009308
29,148.927,0.46774,0.4057,0.91677,0.99739,1,0.995,0.94928,0.28837,0.25453,0.70348,0.0008912,0.0008912,0.0008912
30,153.973,0.47053,0.41177,0.92852,0.9976,1,0.995,0.95598,0.32811,0.28028,0.71269,0.0008516,0.0008516,0.0008516
31,158.864,0.49205,0.41545,0.94236,0.99818,1,0.995,0.95582,0.34229,0.29532,0.72112,0.000812,0.000812,0.000812
32,163.749,0.46709,0.40724,0.94359,0.99739,1,0.995,0.94733,0.35518,0.26126,0.74704,0.0007724,0.0007724,0.0007724
33,168.882,0.40886,0.36089,0.90605,0.99702,1,0.995,0.94448,0.38179,0.26599,0.75744,0.0007328,0.0007328,0.0007328
34,173.806,0.41466,0.36789,0.91349,1,0.99439,0.995,0.95871,0.30911,0.26802,0.72298,0.0006932,0.0006932,0.0006932
35,178.666,0.42935,0.37759,0.90337,0.96969,1,0.99444,0.95801,0.3295,0.25348,0.73849,0.0006536,0.0006536,0.0006536
36,183.542,0.41647,0.37208,0.92491,0.99605,1,0.995,0.93814,0.4019,0.30077,0.78303,0.000614,0.000614,0.000614
37,188.613,0.40911,0.3603,0.88719,0.9964,1,0.995,0.94848,0.34138,0.30545,0.75752,0.0005744,0.0005744,0.0005744
38,193.387,0.38957,0.3348,0.88438,0.99809,1,0.995,0.96728,0.27619,0.27125,0.70766,0.0005348,0.0005348,0.0005348
39,198.367,0.39939,0.34288,0.89097,0.99675,1,0.995,0.97358,0.28557,0.28025,0.70417,0.0004952,0.0004952,0.0004952
40,203.394,0.42981,0.3764,0.93218,0.99799,1,0.995,0.9758,0.26414,0.25074,0.69517,0.0004556,0.0004556,0.0004556
41,253.387,0.29119,0.28879,0.80228,0.9979,1,0.995,0.98448,0.25065,0.26243,0.6922,0.000416,0.000416,0.000416
42,258.558,0.26019,0.25055,0.78771,0.99806,1,0.995,0.97246,0.28453,0.29691,0.70439,0.0003764,0.0003764,0.0003764
43,263.591,0.28455,0.25884,0.8028,0.99804,1,0.995,0.97005,0.28107,0.28533,0.70142,0.0003368,0.0003368,0.0003368
44,268.543,0.26782,0.24183,0.7965,0.99795,1,0.995,0.9681,0.27114,0.26662,0.69613,0.0002972,0.0002972,0.0002972
45,273.7,0.2568,0.2416,0.7908,0.99797,1,0.995,0.97085,0.28373,0.25877,0.6975,0.0002576,0.0002576,0.0002576
46,278.521,0.25123,0.23876,0.77934,0.99822,1,0.995,0.97441,0.24896,0.22409,0.68818,0.000218,0.000218,0.000218
47,283.618,0.23432,0.22698,0.80255,0.9983,1,0.995,0.97111,0.25277,0.22556,0.68676,0.0001784,0.0001784,0.0001784
48,288.863,0.23813,0.22898,0.78218,0.99834,1,0.995,0.981,0.24934,0.23381,0.68605,0.0001388,0.0001388,0.0001388
49,294.145,0.23146,0.21935,0.77973,0.99833,1,0.995,0.98135,0.23578,0.22244,0.68394,9.92e-05,9.92e-05,9.92e-05
50,299.359,0.22852,0.21374,0.81409,0.99838,1,0.995,0.97945,0.22063,0.22405,0.68027,5.96e-05,5.96e-05,5.96e-05
